y,,Rank,Opponent Rank,Wins,Losses,Total Matches,Win/Loss Ratio,WWOF,Win%,WWOF%,,,,Rank,Win%,WWOF%,,
o,,y,ALL,10227,2784,13011,4.0471,4.0471,0.786,0.8019,,,,y,0.786,0.8019,1,0.8019
s,,o,ALL,12784,6778,19562,2.19,2.4022,0.6535,0.7061,,,,o,0.6535,0.7061,2,0.7061
k,,s,ALL,8529,6914,15443,1.3972,1.7332,0.5523,0.6341,,,,s,0.5523,0.6341,3,0.6341
m1,,k,ALL,6860,8154,15014,0.9421,1.2989,0.4569,0.565,,,,k,0.4569,0.565,4,0.565
m2,,m1,ALL,6035,7941,13976,0.8617,1.2987,0.4318,0.565,,,,m1,0.4318,0.565,5,0.565
m3,,m2,ALL,5721,8360,14081,0.7672,1.135,0.4063,0.5316,,,,m2,0.4063,0.5316,6,0.5316
m4,,m3,ALL,5563,8432,13995,0.7335,1.0851,0.3975,0.5204,,,,m3,0.3975,0.5204,7,0.5204
m5,,m4,ALL,6059,7985,14044,0.8285,1.1223,0.4314,0.5288,,,,m4,0.4314,0.5288,8,0.5288
m6,,m5,ALL,6302,7558,13860,0.8871,1.0743,0.4547,0.5179,,,,m5,0.4547,0.5179,9,0.5179
m7,,m6,ALL,6706,7247,13953,0.9616,1.1016,0.4806,0.5242,,,,m6,0.4806,0.5242,10,0.5242
m8,,m7,ALL,6837,7147,13984,0.9831,1.0923,0.4889,0.5221,,,,m7,0.4889,0.5221,11,0.5221
m9,,m8,ALL,6795,6908,13703,1.0034,1.0942,0.4959,0.5225,,,,m8,0.4959,0.5225,12,0.5225
m10,,m9,ALL,6912,7000,13912,1.0013,1.0965,0.4968,0.523,,,,m9,0.4968,0.523,13,0.523
m11,,m10,ALL,6781,6892,13673,0.9991,1.1019,0.4959,0.5242,,,,m10,0.4959,0.5242,14,0.5242
m12,,m11,ALL,6726,6907,13633,0.9846,1.0805,0.4934,0.5194,,,,m11,0.4934,0.5194,15,0.5194
m13,,m12,ALL,6462,6822,13284,0.9554,1.0204,0.4864,0.5051,,,,m12,0.4864,0.5051,16,0.5051
m14,,m13,ALL,5999,6325,12324,0.9567,1.0535,0.4868,0.513,,,,m13,0.4868,0.513,17,0.513
m15,,m14,ALL,5128,5305,10433,0.9771,1.0795,0.4915,0.5191,,,,m14,0.4915,0.5191,18,0.5191
m16,,m15,ALL,4095,4557,8652,0.9082,1.0143,0.4733,0.5035,,,,m15,0.4733,0.5035,19,0.5035
mlast,,m16,ALL,2802,3224,6026,0.8805,1.0383,0.465,0.5094,,,,m16,0.465,0.5094,20,0.5094
j1,,mlast,ALL,2229,2508,4737,0.8888,0.9199,0.4706,0.4791,,,,mlast,0.4706,0.4791,21,0.4791
j2,,j1,ALL,7015,6330,13345,1.1182,1.1489,0.5257,0.5347,,,,j1,0.5257,0.5347,22,0.5347
j3,,j2,ALL,6905,6440,13345,1.0794,1.101,0.5174,0.524,,,,j2,0.5174,0.524,23,0.524
j3,,j3,ALL,7029,6404,13433,1.1061,1.1506,0.5233,0.535,,,,j3,0.5233,0.535,24,0.535
j5,,j4,ALL,6675,6590,13265,1.0178,1.0441,0.5032,0.5108,,,,j4,0.5032,0.5108,25,0.5108
j6,,j5,ALL,6583,6582,13165,1.0052,1.0256,0.5,0.5063,,,,j5,0.5,0.5063,26,0.5063
j7,,j6,ALL,6497,6578,13075,0.9938,1.0391,0.4969,0.5096,,,,j6,0.4969,0.5096,27,0.5096
j8,,j7,ALL,6273,6622,12895,0.951,0.9889,0.4865,0.4972,,,,j7,0.4865,0.4972,28,0.4972
j9,,j8,ALL,6470,6381,12851,1.017,1.0545,0.5035,0.5133,,,,j8,0.5035,0.5133,29,0.5133
j10,,j9,ALL,6288,6384,12672,0.9886,1.053,0.4962,0.5129,,,,j9,0.4962,0.5129,30,0.5129
j11,,j10,ALL,6096,6354,12450,0.9633,1.0278,0.4896,0.5069,,,,j10,0.4896,0.5069,31,0.5069
j12,,j11,ALL,5779,6103,11882,0.9517,1,0.4864,0.5,,,,j11,0.4864,0.5,32,0.5
j13,,j12,ALL,5334,5573,10907,0.9631,1.0143,0.489,0.5035,,,,j12,0.489,0.5035,33,0.5035
j14,,j13,ALL,4976,5190,10166,0.9612,0.989,0.4895,0.4972,,,,j13,0.4895,0.4972,34,0.4972
,,j14,ALL,2386,2634,5020,0.9108,N/A,0.4753,N/A,,,,j14,0.4753,N/A,,
